INSTNM,CITY,STABBR,LOCALE,CIP11ASSOC,CIP11BACHL
Oxnard College,Oxnard,CA,12.0,1.0,0.0
Pacific States University,LosAngeles,CA,11.0,0.0,1.0
University of the Pacific,Stockton,CA,11.0,0.0,1.0
Pasadena City College,Pasadena,CA,12.0,1.0,0.0
Platt College-San Diego,SanDiego,CA,11.0,1.0,1.0
Point Loma Nazarene University,SanDiego,CA,11.0,0.0,1.0
Porterville College,Porterville,CA,13.0,1.0,0.0
Westwood College-South Bay,Torrance,CA,11.0,1.0,1.0
Santa Ana College,SantaAna,CA,11.0,2.0,0.0
University of Redlands,Redlands,CA,13.0,0.0,1.0
Riverside City College,Riverside,CA,11.0,1.0,0.0
Sacramento City College,Sacramento,CA,11.0,1.0,0.0
San Diego City College,SanDiego,CA,11.0,1.0,0.0
San Diego Mesa College,SanDiego,CA,11.0,1.0,0.0
San Diego Miramar College,SanDiego,CA,11.0,1.0,0.0
San Diego State University,SanDiego,CA,11.0,0.0,1.0
University of San Diego,SanDiego,CA,11.0,0.0,1.0
San Francisco State University,SanFrancisco,CA,11.0,0.0,1.0
University of San Francisco,SanFrancisco,CA,11.0,0.0,1.0
San Joaquin Delta College,Stockton,CA,11.0,1.0,0.0
San Jose City College,SanJose,CA,11.0,2.0,0.0
San Jose State University,SanJose,CA,11.0,0.0,2.0
Santa Barbara Business College-Bakersfield,Bakersfield,CA,11.0,2.0,1.0
Westwood College-Los Angeles,LosAngeles,CA,11.0,2.0,2.0
Santa Barbara City College,SantaBarbara,CA,13.0,2.0,0.0
Santa Clara University,SantaClara,CA,12.0,0.0,1.0
Santa Monica College,SantaMonica,CA,13.0,1.0,0.0
Santa Rosa Junior College,SantaRosa,CA,12.0,1.0,0.0
College of the Sequoias,Visalia,CA,12.0,1.0,0.0
San Bernardino Valley College,SanBernardino,CA,12.0,2.0,0.0
Vanguard University of Southern California,CostaMesa,CA,12.0,1.0,1.0
University of Southern California,LosAngeles,CA,11.0,0.0,1.0
Victor Valley College,Victorville,CA,12.0,1.0,0.0
Berkeley City College,Berkeley,CA,12.0,1.0,0.0
Walden University,Minneapolis,MN,11.0,0.0,2.0
Woodbury University,Burbank,CA,11.0,0.0,1.0
Aims Community College,Greeley,CO,13.0,2.0,0.0
Everest College-Colorado Springs,ColoradoSprings,CO,11.0,2.0,0.0
University of Colorado Denver,Denver,CO,11.0,0.0,2.0
University of Colorado Colorado Springs,ColoradoSprings,CO,11.0,0.0,2.0
University of Colorado Boulder,Boulder,CO,13.0,0.0,1.0
Colorado Christian University,Lakewood,CO,12.0,2.0,2.0
Colorado College,ColoradoSprings,CO,11.0,0.0,1.0
The Art Institute of Colorado,Denver,CO,11.0,1.0,1.0
Colorado State University-Fort Collins,FortCollins,CO,12.0,0.0,2.0
Colorado Technical University-Colorado Springs,ColoradoSprings,CO,11.0,1.0,1.0
Community College of Aurora,Aurora,CO,11.0,2.0,0.0
College America-Denver,Denver,CO,11.0,1.0,1.0
Community College of Denver,Denver,CO,11.0,2.0,0.0
University of Denver,Denver,CO,11.0,0.0,2.0
Colorado Mesa University,GrandJunction,CO,13.0,2.0,2.0
Metropolitan State University of Denver,Denver,CO,11.0,0.0,2.0
National American University-Colorado Springs,ColoradoSprings,CO,11.0,2.0,2.0
National American University-Denver,Denver,CO,11.0,2.0,2.0
Pueblo Community College,Pueblo,CO,12.0,2.0,0.0
Red Rocks Community College,Lakewood,CO,12.0,2.0,0.0
Regis University,Denver,CO,11.0,0.0,2.0
Rocky Mountain College of Art and Design,Lakewood,CO,12.0,0.0,2.0
Colorado State University-Pueblo,Pueblo,CO,12.0,0.0,2.0
Intellitec College-Colorado Springs,ColoradoSprings,CO,11.0,1.0,0.0
University of Bridgeport,Bridgeport,CT,12.0,1.0,2.0
Connecticut College,NewLondon,CT,13.0,0.0,1.0
Capital Community College,Hartford,CT,12.0,2.0,0.0
University of Hartford,WestHartford,CT,12.0,1.0,2.0
Housatonic Community College,Bridgeport,CT,12.0,1.0,0.0
Middlesex Community College,Middletown,CT,13.0,1.0,0.0
Mitchell College,NewLondon,CT,13.0,1.0,1.0
Three Rivers Community College,Norwich,CT,13.0,1.0,0.0
Norwalk Community College,Norwalk,CT,13.0,2.0,0.0
Gateway Community College,NewHaven,CT,12.0,1.0,0.0
Southern Connecticut State University,NewHaven,CT,12.0,0.0,1.0
Trinity College,Hartford,CT,12.0,0.0,1.0
Wesleyan University,Middletown,CT,13.0,0.0,1.0
Western Connecticut State University,Danbury,CT,13.0,1.0,1.0
Yale University,NewHaven,CT,12.0,0.0,2.0
Delaware Technical Community College-Terry,Dover,DE,13.0,1.0,0.0
Delaware Technical Community College-Stanton/Wilmington,Wilmington,DE,13.0,1.0,0.0
Delaware State University,Dover,DE,13.0,0.0,1.0
American University,Washington,DC,11.0,1.0,1.0
Catholic University of America,Washington,DC,11.0,1.0,1.0
Corcoran College of Art and Design,Washington,DC,11.0,1.0,1.0
University of the District of Columbia,Washington,DC,11.0,1.0,1.0
Gallaudet University,Washington,DC,11.0,0.0,2.0
George Washington University,Washington,DC,11.0,2.0,2.0
Georgetown University,Washington,DC,11.0,0.0,1.0
Howard University,Washington,DC,11.0,0.0,1.0
Strayer University-District of Columbia,Washington,DC,11.0,2.0,2.0
The Art Institute of Fort Lauderdale,FortLauderdale,FL,12.0,1.0,1.0
Bethune-Cookman University,DaytonaBeach,FL,13.0,0.0,2.0
College of Central Florida,Ocala,FL,13.0,2.0,1.0
Clearwater Christian College,Clearwater,FL,12.0,1.0,1.0
Daytona State College,DaytonaBeach,FL,13.0,2.0,2.0
Eckerd College,SaintPetersburg,FL,12.0,0.0,1.0
Edward Waters College,Jacksonville,FL,11.0,0.0,1.0
Embry-Riddle Aeronautical University-Daytona Beach,DaytonaBeach,FL,13.0,1.0,1.0
Florida Agricultural and Mechanical University,Tallahassee,FL,12.0,1.0,1.0
Florida Atlantic University,BocaRaton,FL,13.0,1.0,2.0
Florida State College at Jacksonville,Jacksonville,FL,11.0,2.0,2.0
Florida Institute of Technology,Melbourne,FL,13.0,0.0,1.0
Florida Southern College,Lakeland,FL,13.0,0.0,1.0
Florida State University,Tallahassee,FL,12.0,1.0,2.0
University of Southernmost Florida,Jacksonville,FL,11.0,1.0,0.0
University of Florida,Gainesville,FL,12.0,1.0,2.0
Everest University-Pompano Beach,PompanoBeach,FL,12.0,2.0,2.0
Gulf Coast State College,PanamaCity,FL,13.0,2.0,1.0
Hillsborough Community College,Tampa,FL,11.0,1.0,0.0
AI Miami International University of Art and Design,Miami,FL,11.0,1.0,1.0
Jacksonville University,Jacksonville,FL,11.0,0.0,2.0
Jones College-Jacksonville,Jacksonville,FL,11.0,2.0,2.0
Keiser University-Ft Lauderdale,FortLauderdale,FL,12.0,2.0,2.0
Miami Dade College,Miami,FL,11.0,2.0,1.0
Lincoln College of Technology-West Palm Beach,WestPalmBeach,FL,12.0,2.0,2.0
University of North Florida,Jacksonville,FL,11.0,1.0,2.0
Northwood University-Florida,WestPalmBeach,FL,12.0,2.0,2.0
Palm Beach Atlantic University,WestPalmBeach,FL,12.0,1.0,2.0
Pensacola State College,Pensacola,FL,13.0,2.0,2.0
Polk State College,WinterHaven,FL,13.0,1.0,1.0
St Petersburg College,Clearwater,FL,13.0,2.0,2.0
Seminole State College of Florida,Sanford,FL,13.0,2.0,1.0
University of South Florida-Main Campus,Tampa,FL,11.0,1.0,1.0
Tallahassee Community College,Tallahassee,FL,12.0,2.0,0.0
Everest University-Tampa,Tampa,FL,11.0,2.0,2.0
Everest University-Largo,Largo,FL,13.0,2.0,2.0
The University of Tampa,Tampa,FL,11.0,1.0,1.0
Valencia College,Orlando,FL,12.0,2.0,1.0
Rasmussen College-Florida,Ocala,FL,13.0,2.0,2.0
The University of West Florida,Pensacola,FL,13.0,1.0,2.0
Albany Technical College,Albany,GA,13.0,2.0,0.0
Darton State College,Albany,GA,13.0,2.0,0.0
Albany State University,Albany,GA,13.0,0.0,2.0
Armstrong Atlantic State University,Savannah,GA,12.0,1.0,2.0
The Art Institute of Atlanta,Atlanta,GA,13.0,1.0,1.0
Atlanta Technical College,Atlanta,GA,11.0,2.0,0.0
Atlanta Metropolitan State College,Atlanta,GA,11.0,2.0,1.0
Clark Atlanta University,Atlanta,GA,11.0,0.0,1.0
Augusta Technical College,Augusta,GA,12.0,2.0,0.0
Bauder College,Atlanta,GA,11.0,1.0,1.0
Columbus Technical College,Columbus,GA,12.0,2.0,0.0
Columbus State University,Columbus,GA,12.0,1.0,2.0
Georgia Northwestern Technical College,Rome,GA,13.0,2.0,0.0
South University-Savannah,Savannah,GA,12.0,1.0,1.0
Georgia Institute of Technology-Main Campus,Atlanta,GA,11.0,0.0,1.0
Georgia State University,Atlanta,GA,11.0,0.0,1.0
University of Georgia,Athens,GA,12.0,0.0,1.0
Life University,Marietta,GA,13.0,1.0,1.0
Herzing University-Atlanta,Atlanta,GA,11.0,2.0,2.0
Mercer University,Macon,GA,13.0,0.0,2.0
Morehouse College,Atlanta,GA,11.0,0.0,1.0
Savannah Technical College,Savannah,GA,12.0,1.0,0.0
Savannah College of Art and Design,Savannah,GA,12.0,0.0,2.0
Savannah State University,Savannah,GA,12.0,1.0,1.0
Shorter University,Rome,GA,13.0,2.0,2.0
Southern Polytechnic State University,Marietta,GA,13.0,1.0,2.0
Valdosta State University,Valdosta,GA,13.0,1.0,2.0
Heald College-Honolulu,Honolulu,HI,11.0,1.0,0.0
Chaminade University of Honolulu,Honolulu,HI,11.0,1.0,1.0
University of Hawaii at Manoa,Honolulu,HI,11.0,0.0,2.0
Hawaii Pacific University,Honolulu,HI,11.0,2.0,2.0
Honolulu Community College,Honolulu,HI,11.0,1.0,0.0
Kapiolani Community College,Honolulu,HI,11.0,1.0,0.0
Boise State University,Boise,ID,12.0,2.0,2.0
Eastern Idaho Technical College,IdahoFalls,ID,13.0,1.0,0.0
Idaho State University,Pocatello,ID,13.0,2.0,2.0
Lewis-Clark State College,Lewiston,ID,13.0,2.0,2.0
ITT Technical Institute-Boise,Boise,ID,12.0,1.0,1.0
North Idaho College,Coeurd'Alene,ID,13.0,2.0,0.0
American Academy of Art,Chicago,IL,11.0,0.0,1.0
Augustana College,RockIsland,IL,13.0,0.0,1.0
Black Hawk College,Moline,IL,13.0,1.0,0.0
Bradley University,Peoria,IL,12.0,0.0,1.0
Chicago State University,Chicago,IL,11.0,0.0,1.0
University of Chicago,Chicago,IL,11.0,0.0,1.0
City Colleges of Chicago-Kennedy-King College,Chicago,IL,11.0,1.0,0.0
City Colleges of Chicago-Malcolm X College,Chicago,IL,11.0,1.0,0.0
City Colleges of Chicago-Olive-Harvey College,Chicago,IL,11.0,1.0,0.0
City Colleges of Chicago-Harry S Truman College,Chicago,IL,11.0,1.0,0.0
City Colleges of Chicago-Richard J Daley College,Chicago,IL,11.0,1.0,0.0
City Colleges of Chicago-Harold Washington College,Chicago,IL,11.0,1.0,0.0
City Colleges of Chicago-Wilbur Wright College,Chicago,IL,11.0,1.0,0.0
Columbia College-Chicago,Chicago,IL,11.0,0.0,1.0
Danville Area Community College,Danville,IL,13.0,2.0,0.0
DePaul University,Chicago,IL,11.0,0.0,2.0
East-West University,Chicago,IL,11.0,1.0,1.0
Elgin Community College,Elgin,IL,12.0,1.0,0.0
Harrington College of Design,Chicago,IL,11.0,1.0,1.0
University of Illinois at Chicago,Chicago,IL,11.0,0.0,2.0
University of Illinois at Urbana-Champaign,Champaign,IL,13.0,0.0,2.0
Illinois Wesleyan University,Bloomington,IL,13.0,0.0,1.0
Illinois Institute of Technology,Chicago,IL,11.0,0.0,1.0
International Academy of Design and Technology-Chicago,Chicago,IL,11.0,1.0,1.0
Kankakee Community College,Kankakee,IL,13.0,1.0,0.0
Lincoln Land Community College,Springfield,IL,12.0,1.0,0.0
Loyola University Chicago,Chicago,IL,11.0,0.0,2.0
Midstate College,Peoria,IL,12.0,2.0,2.0
Millikin University,Decatur,IL,13.0,0.0,1.0
National Louis University,Chicago,IL,11.0,0.0,2.0
North Central College,Naperville,IL,12.0,0.0,1.0
Northwestern University,Evanston,IL,13.0,0.0,1.0
Northeastern Illinois University,Chicago,IL,11.0,0.0,1.0
Oakton Community College,DesPlaines,IL,13.0,1.0,0.0
Parkland College,Champaign,IL,13.0,1.0,0.0
The Illinois Institute of Art-Chicago,Chicago,IL,11.0,1.0,1.0
Richland Community College,Decatur,IL,13.0,1.0,0.0
Robert Morris University Illinois,Chicago,IL,11.0,1.0,1.0
Rock Valley College,Rockford,IL,12.0,1.0,0.0
Madison Media Institute - Rockford Career College,Rockford,IL,12.0,1.0,0.0
Rockford University,Rockford,IL,12.0,0.0,1.0
Roosevelt University,Chicago,IL,11.0,0.0,2.0
Saint Xavier University,Chicago,IL,11.0,0.0,2.0
University of Illinois at Springfield,Springfield,IL,12.0,0.0,2.0
Saint Augustine College,Chicago,IL,11.0,1.0,1.0
Southern Illinois University-Carbondale,Carbondale,IL,13.0,1.0,1.0
Anderson University,Anderson,IN,13.0,1.0,2.0
Ball State University,Muncie,IN,13.0,2.0,2.0
Bethel College-Indiana,Mishawaka,IN,13.0,2.0,2.0
Butler University,Indianapolis,IN,11.0,1.0,1.0
University of Evansville,Evansville,IN,12.0,1.0,1.0
Goshen College,Goshen,IN,13.0,0.0,1.0
Ivy Tech Community College,Indianapolis,IN,11.0,2.0,0.0
Indiana University-Purdue University-Fort Wayne,FortWayne,IN,11.0,1.0,2.0
Indiana University-Purdue University-Indianapolis,Indianapolis,IN,11.0,2.0,2.0
Harrison College-Indianapolis,Indianapolis,IN,11.0,2.0,2.0
University of Indianapolis,Indianapolis,IN,11.0,1.0,1.0
Indiana Institute of Technology,FortWayne,IN,11.0,2.0,2.0
Indiana State University,TerreHaute,IN,13.0,1.0,2.0
Indiana University-Kokomo,Kokomo,IN,13.0,1.0,2.0
Indiana University-South Bend,SouthBend,IN,12.0,1.0,2.0
Indiana University-Bloomington,Bloomington,IN,13.0,2.0,2.0
Indiana University-Northwest,Gary,IN,13.0,2.0,2.0
International Business College-Fort Wayne,FortWayne,IN,11.0,1.0,1.0
International Business College-Indianapolis,Indianapolis,IN,11.0,1.0,0.0
ITT Technical Institute-Nashville,Nashville,TN,11.0,1.0,1.0
ITT Technical Institute-Fort Wayne,FortWayne,IN,11.0,1.0,1.0
ITT Technical Institute-Indianapolis,Indianapolis,IN,11.0,2.0,2.0
Brown Mackie College-Michigan City,MichiganCity,IN,13.0,1.0,1.0
Rose-Hulman Institute of Technology,TerreHaute,IN,13.0,0.0,1.0
AIB College of Business,DesMoines,IA,12.0,2.0,2.0
Briar Cliff University,SiouxCity,IA,13.0,1.0,1.0
Clarke University,Dubuque,IA,13.0,1.0,1.0
Coe College,CedarRapids,IA,12.0,0.0,1.0
Drake University,DesMoines,IA,12.0,0.0,1.0
University of Dubuque,Dubuque,IA,13.0,0.0,1.0
Emmaus Bible College,Dubuque,IA,13.0,1.0,1.0
Eastern Iowa Community College District,Davenport,IA,12.0,2.0,0.0
Grand View University,DesMoines,IA,12.0,1.0,1.0
Kaplan University-Cedar Rapids Campus,CedarRapids,IA,12.0,2.0,2.0
Hawkeye Community College,Waterloo,IA,13.0,2.0,0.0
Iowa State University,Ames,IA,13.0,0.0,2.0
Iowa Western Community College,CouncilBluffs,IA,13.0,2.0,0.0
University of Iowa,IowaCity,IA,13.0,0.0,2.0
Kirkwood Community College,CedarRapids,IA,12.0,2.0,0.0
Loras College,Dubuque,IA,13.0,1.0,1.0
Morningside College,SiouxCity,IA,13.0,0.0,1.0
Mount Mercy University,CedarRapids,IA,12.0,0.0,1.0
University of Northern Iowa,CedarFalls,IA,13.0,0.0,2.0
Saint Ambrose University,Davenport,IA,12.0,0.0,1.0
Western Iowa Tech Community College,SiouxCity,IA,13.0,2.0,0.0
Bryan University,Topeka,KS,12.0,1.0,0.0
Friends University,Wichita,KS,11.0,1.0,2.0
Johnson County Community College,OverlandPark,KS,12.0,2.0,0.0
Kansas City Kansas Community College,KansasCity,KS,12.0,2.0,0.0
University of Kansas,Lawrence,KS,13.0,0.0,2.0
Newman University,Wichita,KS,11.0,1.0,2.0
Kansas State University,Manhattan,KS,13.0,1.0,1.0
Manhattan Area Technical College,Manhattan,KS,13.0,1.0,0.0
Ottawa University-Kansas City,OverlandPark,KS,12.0,0.0,2.0
Washburn University,Topeka,KS,12.0,2.0,2.0
Wichita State University,Wichita,KS,11.0,1.0,2.0
Wichita Technical Institute,Wichita,KS,11.0,1.0,0.0
Ashland Community and Technical College,Ashland,KY,13.0,2.0,0.0
Bellarmine University,Louisville,KY,11.0,0.0,1.0
Southcentral Kentucky Community and Technical College,BowlingGreen,KY,13.0,2.0,0.0
Bluegrass Community and Technical College,Lexington,KY,11.0,2.0,0.0
Elizabethtown Community and Technical College,Elizabethtown,KY,13.0,2.0,0.0
Jefferson Community and Technical College,Louisville,KY,11.0,2.0,0.0
National College-Lexington,Lexington,KY,11.0,2.0,2.0
Kentucky Wesleyan College,Owensboro,KY,13.0,0.0,2.0
University of Kentucky,Lexington,KY,11.0,0.0,2.0
University of Louisville,Louisville,KY,11.0,1.0,2.0
Daymar College-Owensboro,Owensboro,KY,13.0,1.0,1.0
Brown Mackie College-Louisville,Louisville,KY,11.0,1.0,1.0
Sullivan University,Louisville,KY,11.0,2.0,2.0
Transylvania University,Lexington,KY,11.0,0.0,1.0
Western Kentucky University,BowlingGreen,KY,13.0,2.0,2.0
Central Louisiana Technical Community College,Alexandria,LA,13.0,1.0,0.0
Baton Rouge School of Computers,BatonRouge,LA,12.0,1.0,0.0
Capital Area Technical College,BatonRouge,LA,12.0,1.0,0.0
Bossier Parish Community College,BossierCity,LA,13.0,2.0,0.0
Cameron College,NewOrleans,LA,11.0,1.0,0.0
Delgado Community College,NewOrleans,LA,11.0,2.0,0.0
Delta School of Business and Technology,LakeCharles,LA,13.0,1.0,0.0
Dillard University,NewOrleans,LA,11.0,0.0,1.0
Louisiana State University-Shreveport,Shreveport,LA,12.0,0.0,1.0
Acadiana Technical College-Lafayette Campus,Lafayette,LA,12.0,1.0,0.0
Loyola University New Orleans,NewOrleans,LA,11.0,0.0,2.0
McNeese State University,LakeCharles,LA,13.0,2.0,2.0
University of New Orleans,NewOrleans,LA,11.0,0.0,1.0
Nicholls State University,Thibodaux,LA,13.0,2.0,2.0
University of Louisiana at Monroe,Monroe,LA,13.0,2.0,2.0
Remington College-Lafayette Campus,Lafayette,LA,12.0,1.0,0.0
SOWELA Technical Community College,LakeCharles,LA,13.0,1.0,0.0
Southeastern Louisiana University,Hammond,LA,13.0,1.0,2.0
Southern University and A & M College,BatonRouge,LA,12.0,0.0,2.0
Southern University at Shreveport,Shreveport,LA,12.0,1.0,0.0
University of Louisiana at Lafayette,Lafayette,LA,12.0,0.0,2.0
Tulane University of Louisiana,NewOrleans,LA,11.0,1.0,1.0
Xavier University of Louisiana,NewOrleans,LA,11.0,0.0,2.0
Kaplan University-Maine Campus,SPortland,ME,13.0,2.0,2.0
Eastern Maine Community College,Bangor,ME,13.0,2.0,0.0
Husson University,Bangor,ME,13.0,1.0,2.0
Southern Maine Community College,SouthPortland,ME,13.0,1.0,0.0
University of Southern Maine,Portland,ME,13.0,0.0,2.0
Allegany College of Maryland,Cumberland,MD,13.0,2.0,0.0
TESST College of Technology-Towson,Towson,MD,13.0,1.0,0.0
Baltimore City Community College,Baltimore,MD,11.0,2.0,0.0
University of Baltimore,Baltimore,MD,11.0,0.0,2.0
Coppin State University,Baltimore,MD,11.0,0.0,2.0
Frederick Community College,Frederick,MD,13.0,2.0,0.0
Goucher College,Baltimore,MD,13.0,0.0,1.0
Hood College,Frederick,MD,13.0,0.0,1.0
Howard Community College,Columbia,MD,13.0,2.0,0.0
Johns Hopkins University,Baltimore,MD,11.0,0.0,1.0
Loyola University Maryland,Baltimore,MD,11.0,0.0,1.0
Montgomery College,Rockville,MD,13.0,1.0,0.0
Morgan State University,Baltimore,MD,11.0,0.0,2.0
TESST College of Technology-Baltimore,Baltimore,MD,11.0,1.0,0.0
Sojourner-Douglass College,Baltimore,MD,11.0,0.0,1.0
Towson University,Towson,MD,13.0,0.0,1.0
American International College,Springfield,MA,12.0,1.0,2.0
Assumption College,Worcester,MA,12.0,2.0,2.0
Bentley University,Waltham,MA,13.0,0.0,1.0
Boston College,ChestnutHill,MA,13.0,0.0,1.0
Boston University,Boston,MA,11.0,0.0,1.0
